User,"User email",Store,Amount,"Exit Click Id","Event Time",Status
"john Doe",admin@stonearn.com,2,,,,1
"Cortney Bode",erik.gulgowski@example.org,5,"Kerluke Inc",329,"2023-02-07 05:42:48",1
"Mariela Wunsch",rory.dare@example.net,1.5,"Weber LLC",163,"2023-02-07 05:42:48",1
"Alysa Kuhlman",scottie87@example.org,4.5,"Bogan Inc",117,"2023-02-07 05:42:48",2
"Demond Becker",eleannon@example.net,3,Tromp-Keebler,924,"2023-02-07 05:42:48",3
"Elisabeth Gleason",lionel76@example.org,2.5,"Hirthe, Kshlerin and Buckridge",953,"2023-02-07 05:42:48",2
"Sandra Farrell",jrutherford@example.org,,"Jakubowski, Lang and Rosenbaum",826,"2023-02-07 05:42:48",1
"Jenifer Volkman",janet32@example.com,5,Cole-Koch,609,"2023-02-07 05:42:48",2
"Leanne Pfeffer",elsa04@example.org,3.5,"Kuhn Group",65,"2023-02-07 05:42:48",2
"Lavinia Aufderhar",rice.jeffrey@example.net,1,"Veum, Jacobi and Abshire",258,"2023-02-07 05:42:48",2
"Ericka Wyman",fsporer@example.net,0.5,"Lehner PLC",231,"2023-02-07 05:42:48",3
"Maudie Kling",stroman.rosalind@example.com,5,Batz-Cronin,590,"2023-02-07 05:42:48",3
"Domenic Gusikowski",mccullough.abbie@example.com,1.5,"Batz LLC",49,"2023-02-07 05:42:48",3
"Haley Waters",carmen63@example.org,4,"Lehner PLC",363,"2023-02-07 05:42:48",3
"Benedict Stark",madaline28@example.org,3,"Lehner PLC",821,"2023-02-07 05:42:48",4
"Haley Waters",carmen63@example.org,2,Berge-Swaniawski,598,"2023-02-07 05:42:48",2
"Ayana Harvey",kling.colt@example.com,1.5,Berge-Swaniawski,493,"2023-02-07 05:42:48",3
"Lilliana Armstrong",bell.ledner@example.com,1.5,"Beier, Sporer and Larson",119,"2023-02-07 05:42:48",2
"Isaiah Torphy",price.richard@example.org,1.5,"O'Reilly, Crona and Runolfsson",426,"2023-02-07 05:42:48",3
"Lottie Zulauf",ocartwright@example.net,3,Carroll-Goldner,790,"2023-02-07 05:42:48",1
"Jenifer Volkman",janet32@example.com,2,Senger-Donnelly,584,"2023-02-07 05:42:48",4
"Lilliana Armstrong",bell.ledner@example.com,5,"Dooley Inc",239,"2023-02-07 05:42:48",1
"Maudie Kling",stroman.rosalind@example.com,2,"Veum, Jacobi and Abshire",16,"2023-02-07 05:42:48",4
"Evalyn Runolfsson",kwhite@example.org,1.5,"Willms PLC",206,"2023-02-07 05:42:48",1
"Data Operator",data@trs.com,3,"Gorczany, Schmidt and Rau",444,"2023-02-07 05:42:48",1
"Santina Grimes",graham.carrie@example.net,5,"Cole Inc",413,"2023-02-07 05:42:48",4
"Jedediah Ankunding",shayne.zieme@example.net,4.5,"Cole Inc",558,"2023-02-07 05:42:48",2
"Mylene Larson",anderson.lindsay@example.com,2.5,"O'Reilly, Crona and Runolfsson",575,"2023-02-07 05:42:48",2
"Jaquelin Schimmel",predovic.delta@example.net,2.5,"Bechtelar Group",64,"2023-02-07 05:42:48",1
"Reinhold Wiza",cordie.hagenes@example.org,4,"Welch, Streich and Hahn",913,"2023-02-07 05:42:48",3
"Randall Kreiger",lavon.kris@example.org,4,"Bode, Cummerata and Keeling",423,"2023-02-07 05:42:48",2
"Ola Hackett",jlittel@example.net,0.5,Batz-Cronin,656,"2023-02-07 05:42:48",4
"Maudie Kling",stroman.rosalind@example.com,2.5,"Batz LLC",501,"2023-02-07 05:42:48",4
"Jedediah Ankunding",shayne.zieme@example.net,0.5,"Hegmann, O'Keefe and McDermott",883,"2023-02-07 05:42:48",2
"Sandra Farrell",jrutherford@example.org,5,Batz-Cronin,965,"2023-02-07 05:42:48",2
"Maudie Kling",stroman.rosalind@example.com,0.5,Lindgren-Price,916,"2023-02-07 05:42:48",4
"Super Admin",admin@trs.com,3.5,"Hirthe, Kshlerin and Buckridge",233,"2023-02-07 05:42:48",3
"Izaiah Sawayn",vandervort.josianne@example.org,4,"Kerluke Inc",81,"2023-02-07 05:42:48",2
"Cortney Bode",erik.gulgowski@example.org,5,"Jakubowski, Lang and Rosenbaum",687,"2023-02-07 05:42:48",3
"Darryl Wuckert",jessie.bailey@example.org,4,Senger-Donnelly,653,"2023-02-07 05:42:48",3
"Benedict Stark",madaline28@example.org,3.5,Carroll-Goldner,166,"2023-02-07 05:42:48",2
"Reinhold Wiza",cordie.hagenes@example.org,1,"Bechtelar Group",565,"2023-02-07 05:42:48",3
"Parker Altenwerth",barrows.casimir@example.org,2,Berge-Swaniawski,484,"2023-02-07 05:42:48",1
"Citlalli Johns",adelia96@example.org,1.5,"Turner Inc",844,"2023-02-07 05:42:48",3
"Lea Kuphal",kub.arvel@example.com,2.5,"Zieme PLC",992,"2023-02-07 05:42:48",1
"Charles Daniel",ernestina.corkery@example.com,2.5,Lindgren-Price,832,"2023-02-07 05:42:48",4
"Loma Spencer",eldora.quitzon@example.org,1,"Rempel, Nolan and Walker",31,"2023-02-07 05:42:48",1
"Lea Kuphal",kub.arvel@example.com,5,"Schiller PLC",906,"2023-02-07 05:42:48",4
"Cortney Bode",erik.gulgowski@example.org,3,"Cole Inc",888,"2023-02-07 05:42:48",2
"Parker Altenwerth",barrows.casimir@example.org,0.5,"Bogan Inc",574,"2023-02-07 05:42:48",2
"Esperanza Emard",yost.marlene@example.net,2.5,"Hegmann, O'Keefe and McDermott",205,"2023-02-07 05:42:48",4
"Data Operator",data@trs.com,3.5,"Rath, Glover and Mohr",389,"2023-02-07 05:42:48",1
"Mac Bahringer",krajcik.christina@example.org,3.5,"Kuhn Group",155,"2023-02-07 05:42:48",3
"Darryl Wuckert",jessie.bailey@example.org,2.5,Walker-Collins,829,"2023-02-07 05:42:48",3
"Lilliana Armstrong",bell.ledner@example.com,2.5,"Kuhn Group",346,"2023-02-07 05:42:48",3
"Leanne Pfeffer",elsa04@example.org,3,"Veum, Jacobi and Abshire",424,"2023-02-07 05:42:48",4
"Isaiah Torphy",price.richard@example.org,2,Berge-Swaniawski,144,"2023-02-07 05:42:48",1
"Jana Hettinger",johnston.willis@example.net,5,"Beier, Sporer and Larson",876,"2023-02-07 05:42:48",1
"Haley Waters",carmen63@example.org,4.5,"Barrows PLC",396,"2023-02-07 05:42:48",4
"Oda Stark",brielle.predovic@example.com,0.5,"Lindgren, Fritsch and Schiller",499,"2023-02-07 05:42:48",1
"Evalyn Runolfsson",kwhite@example.org,3.5,"O'Reilly, Crona and Runolfsson",36,"2023-02-07 05:42:48",1
"Ericka Wyman",fsporer@example.net,2.5,"Zieme PLC",56,"2023-02-07 05:42:48",4
"Sandra Farrell",jrutherford@example.org,3.5,"O'Reilly, Crona and Runolfsson",318,"2023-02-07 05:42:48",1
"Isaiah Torphy",price.richard@example.org,1.5,"Jerde, Dietrich and Hane",356,"2023-02-07 05:42:48",2
"Benedict Stark",madaline28@example.org,4.5,"Turner Inc",160,"2023-02-07 05:42:48",1
