"First Name","Last Name","Cashback Amount","Reg Type","Reg date",Status
Mira,Freeman,0,"sign up","2021-04-06 10:02:07",active
Montana,Doyle,0,"sign up","2021-04-01 07:53:47",active
Granville,Armstrong,0,"sign up","2021-03-31 13:32:03",active
Nikita,Brekke,0,"sign up","2021-03-31 13:32:03",active
Reggie,Mohr,0,"sign up","2021-03-31 13:32:02",active
Kiana,Parisian,0,"sign up","2021-03-31 13:32:02",active
Alaina,Collier,0,"sign up","2021-03-31 13:32:02",active
Jazmyn,Heidenreich,0,"sign up","2021-03-31 13:32:02",active
Albert,Gislason,0,"sign up","2021-03-31 13:32:02",active
Elmo,Kuphal,0,"sign up","2021-03-31 13:32:02",active
Leann,Prohaska,0,"sign up","2021-03-31 13:32:02",active
Valentin,Larson,0,"sign up","2021-03-31 13:32:02",active
